name,the_geom
Groupauto - Groupe Delahay,POINT (311622.6222074468 6493084.361678528)
Grand Frais,POINT (531762.659791661 5737467.866746568)
Gamm Vert,POINT (311638.5391197232 6492270.30688023)
Renault,POINT (311089.77302488533 6492541.266156996)
Chaussea,POINT (574277.4137457438 6181557.521193972)
,POINT (574303.2072541813 6181680.281356566)
Station Carrefour,POINT (-273702.79605249054 6050994.814449275)
Vision Audition,POINT (662522.4337748324 5712241.667651094)
Euromaster,POINT (663190.295403776 5712155.065522743)
Concession Renault,POINT (662710.9790927827 5712035.981444039)
Lapeyre,POINT (662995.3036500097 5712201.256723174)
Grand Frais,POINT (663122.0208033174 5712097.057501484)
Tollens,POINT (663134.1495470995 5712396.3733789055)
Le Pain de Savoie,POINT (664008.729923006 5712896.566940543)
Le Café Qui Cause -  Bar Librairie,POINT (-348757.6708286139 6091152.5030565355)
Alimentation - Dépot de Pains,POINT (-349060.34103298344 6090976.626609557)
DIKA,POINT (-307617.0802724015 6196457.73365176)
Z.A.C. du Plateau,POINT (-307436.7615527267 6196380.035745097)
,POINT (307031.3892925199 6491611.640268427)
,POINT (307179.60333622334 6491486.088563754)
Larivière,POINT (-310841.1444413965 6049544.367015998)
Le Fourchêne,POINT (-310776.80589065666 6050288.862695083)
Conforama,POINT (156452.08419444307 5417641.116263495)
,POINT (156490.18692442882 5417473.954605774)
Sport 2000,POINT (156450.6723264481 5417535.694002024)
Chausson Matériaux,POINT (156427.41340287548 5417717.52054854)
Auchan,POINT (530541.8581040072 5751722.945849278)
Au bord du monde,POINT (-303240.63601245213 6197882.592029765)
Ephelide,POINT (308295.4235978267 6493331.518403479)
Garage des 4 As,POINT (308040.8259557477 6493654.92878656)
,POINT (308860.21753718145 6493896.233898762)
Doriane,POINT (307326.1989235983 6494144.325589776)
Intermarché,POINT (308296.5668952757 6494173.931391286)
La Fleuriste,POINT (308849.7105054731 6493614.879941345)
Secteur Pavé Arras,POINT (309881.02562115726 6493500.181774875)
Bambino Shoes,POINT (306913.56075063976 6493813.281019692)
imagina'tif,POINT (308853.06524911907 6494054.7231345875)
Renault,POINT (308915.2452239886 6493870.488131208)
,POINT (-283775.648823603 6098860.087744244)
,POINT (-283577.47478518134 6099530.040832357)
Centre Commercial E.Leclerc,POINT (-283617.0388483195 6100532.213175017)
,POINT (-283355.6024836369 6100193.801906499)
E. Leclerc,POINT (-283440.7882356481 6100529.445888212)
Josselin Motoculture,POINT (-282886.2599319271 6100482.643011482)
,POINT (-283336.72344697185 6100070.7014399925)
Bijouterie - Horlogerie Rouault,POINT (-283576.512178905 6099279.139690472)
Marché aux affaires,POINT (-282928.8729202694 6100502.359230898)
,POINT (-283625.61461124243 6099181.588016706)
Claude Coiffure,POINT (-283737.4520887625 6099112.748185496)
Smyths,POINT (-32731.451573267554 6303086.620262047)
Carrefour,POINT (-32473.089918930677 6303072.465765413)
Chaussland,POINT (-32442.190362702615 6302833.661286468)
Go Sport,POINT (-32441.92391151005 6302775.0653823195)
Celio,POINT (-32511.2309527419 6302755.420825695)
Foot Locker,POINT (-32533.438256841626 6302755.359591434)
Primark,POINT (-32696.672192918933 6303168.156737809)
,POINT (-32705.733511630922 6303098.251210469)
Parfois,POINT (-32542.800902697058 6302946.2153869085)
Conforama,POINT (-32501.721362740955 6302648.752903013)
Darty,POINT (-32807.458378499374 6303124.788166598)
Conforama,POINT (305247.7737135785 6495433.525658244)
Gamm Vert,POINT (304516.31217170466 6495100.27165371)
E.Leclerc Cleunay,POINT (-190840.16214171602 6124350.084968162)
Magasin Vert,POINT (-306492.4779134674 6196068.0689407885)
E. Leclerc,POINT (-307278.3265889914 6196245.781322572)
Picard,POINT (-306798.9241673242 6196157.603707825)
Renault,POINT (491916.7141337034 5694899.582957181)
JouéClub,POINT (304645.1619330165 6495136.453309815)
A vin pas des marches,POINT (493193.35869569005 5697429.12953982)
Sne Coupé,POINT (304350.62237674836 6494912.3242782615)
Société Chollet,POINT (492782.0567868054 5696545.180899765)
Lidl,POINT (494191.7434083657 5697885.11018572)
Earl Fatous,POINT (302785.3490380528 6495005.016411577)
Triumph Motorcycle,POINT (-303886.74217703147 6195413.510804804)
Le Fournil du Légué,POINT (-305678.44908630516 6194581.481404558)
,POINT (-303504.9662547208 6195529.480661527)
Le Temps D'une Escale,POINT (-305926.7505043828 6194560.357577157)
Estarellas Fruits Et Primeurs,POINT (-53587.33109810775 5829315.552063408)
Carrefour Market,POINT (-305136.7272817477 6047659.172785224)
Armor Auto,POINT (-305587.6523977195 6046081.0702475235)
Chocolat des Princes,POINT (489892.4059184438 5697169.568520235)
Carrefour Market,POINT (301856.79471140023 6503351.006840883)
Avia,POINT (37852.342684433715 5875289.372947009)
Bricomarché,POINT (674320.8522553677 6261268.85254662)
Roady,POINT (674263.7452473342 6261448.122020811)
Bricomarché,POINT (675108.298786011 6261150.06916784)
Thiriet,POINT (674493.9229153973 6261252.467687351)
Roady,POINT (674293.0897786062 6261413.62778404)
Darty,POINT (674592.6932257367 6261269.486739697)
Kiabi,POINT (674577.2987107616 6261331.6222281465)
Pompes Funèbres Robert,POINT (672258.7535653134 6260990.220322172)
ALDI,POINT (672190.1707088865 6259471.027771621)
Point P,POINT (673566.4924114054 6259121.02780024)
Intermarché,POINT (672618.4602095346 6259538.545393513)
,POINT (672967.4314530249 6260119.854042481)
Point P,POINT (673620.140326892 6259101.056120502)
Netto,POINT (672859.7900716993 6257896.666091951)
ADN - Peugeot,POINT (-12648.423743679517 6031560.81633119)
Mr.Bricolage,POINT (-12292.103794049126 6031748.974925011)
,POINT (-12509.598543740547 6031756.975817408)
Centrakor,POINT (-12385.41610037117 6031754.790114621)
,POINT (-12189.082055683843 6031696.679389671)
Louise d'Or,POINT (766165.4078988385 6118934.41488931)
Snoopy Coif,POINT (766171.183852052 6118944.309195529)
Chocolat Vanille,POINT (307419.9796955524 6499007.824006257)
Intermarché Super,POINT (307777.68315903307 6500832.662397055)
Intermarché,POINT (262617.64621837705 6217696.393983983)
Darty,POINT (260666.11346822183 6217519.1130134305)
Elegance coiffure,POINT (261699.12279916418 6216223.208111669)
Morsang Automobiles,POINT (260313.02523067538 6216348.078554779)
Autoville,POINT (673419.365655579 6257673.760167674)
Kacem Coiff,POINT (673924.8309798087 6258223.537047365)
Garage Gus,POINT (812008.4225236067 6094444.113005459)
Cocon des femmes et barber shop,POINT (284876.61616808956 6253524.262361066)
8 à Huit,POINT (284773.24346577417 6253619.002044076)
,POINT (555531.0082773351 5667998.030141241)
VAL D'OR AUTOMOBILES,POINT (555329.8057573857 5667953.631825286)
VAL D'OR AUTOMOBILES,POINT (555285.1470032249 5667922.864352592)
Peugeot,POINT (674875.6616620097 6260843.248877595)
Match,POINT (675074.4432507975 6260857.944425794)
,POINT (674750.3085942966 6260389.350102221)
Saint-Laurent Auto-Agri,POINT (301036.0943553142 5325424.2257213)
Bonifay,POINT (664131.4983597855 5331636.240827741)
Pain de Sucre,POINT (664464.5653655198 5331659.5617881995)
BestDrive,POINT (663980.0427247366 5331464.189373026)
Renault,POINT (663867.1694324933 5331036.507371645)
Conforama,POINT (484371.56995268504 5697870.114295176)
La Maison d'Ursule,POINT (484159.06787138473 5697876.991760439)
Saloon,POINT (484276.7368227588 5697886.863592113)
4 Murs,POINT (484280.5189402155 5697810.493912118)
Monoprix,POINT (281949.42709341255 6255389.794570238)
Garage Perfect car 63,POINT (358917.9619485594 5764302.685255589)
Librairie Canches,POINT (281941.61908648483 6255306.259088569)
Boulangerie,POINT (362976.83692038665 5762816.388929628)
Mercedes-Benz,POINT (88352.91885178142 5653051.106088478)
Au Fournil d'Andel,POINT (-285794.4304617337 6188921.807176944)
Carrefour,POINT (284333.96938827366 6262554.01898903)
Leroy Merlin,POINT (284634.60393906647 6262849.581706198)
Garage automobile Renault,POINT (279655.1204875808 6258297.013130536)
Assi Supermarché,POINT (283581.4692782957 6262339.520533596)
Toyota;Gca Livry,POINT (284967.8879147661 6263532.854603031)
,POINT (639451.8999344455 5335430.21729005)
Point P,POINT (639354.3140497265 5335600.238688287)
Netto,POINT (283697.0230160343 6262698.040362697)
Carrefour,POINT (280777.4708190445 6258780.317981782)
Lidl,POINT (283673.1347567583 6262357.981388085)
,POINT (284816.68419186736 6263435.886243933)
Picwic,POINT (283842.5716438024 6262191.689014213)
Picard,POINT (282680.56898385996 6261266.37110908)
Action,POINT (284487.05233114416 6263045.040597525)
Mr.Bricolage,POINT (406148.4298603923 6374578.047593212)
Station Service E. Leclerc,POINT (406166.88920318877 6375059.981150348)
La maison du Pro,POINT (406230.9630573153 6374551.129253267)
E.Leclerc,POINT (406047.6665410893 6375192.854570472)
La Huche à Pain,POINT (-309499.095306362 6050432.996388261)
Midas,POINT (-309644.28259638 6050458.53129806)
Nature et Découvertes,POINT (-307016.8394571421 6049650.674939481)
Monoprix,POINT (-306983.8341087373 6050344.327039445)
Art et Copie,POINT (-307707.7410444756 6050148.86669514)
Le Fournil de la Mairie,POINT (-307255.5899262322 6050269.566285285)
,POINT (-309118.79920218413 6048656.0314716585)
Biocoop,POINT (-307123.1384976947 6050284.605234187)
Total,POINT (-308900.4611306109 6050393.910688443)
Carrefour City,POINT (-308378.90850093437 6048885.164491312)
Halles aux Poissons,POINT (-307068.94866980705 6049652.434693934)
Total,POINT (-308881.2420511266 6050391.188805746)
Petit Bateau,POINT (-307033.8805805599 6050118.988694938)
Japanim,POINT (-307091.91161836835 6050211.041628651)
,POINT (818915.286217415 6089823.513743726)
Intermarché,POINT (288195.6302660817 6260487.324983892)
Lidl,POINT (286000.25104653486 6258041.932552126)
Auchan Supermarché,POINT (283704.1439997301 6257872.198535958)
Leleu Artois Fiat Professional,POINT (312932.1145697273 6495637.157912806)
Total,POINT (314211.85435930354 6494491.461415262)
Magik Dépôt,POINT (313432.3806584402 6494904.539761313)
Comptoir Animal Barbezieux,POINT (-17785.380786295762 5695820.621397973)
Centrakor,POINT (-17758.219431162255 5695787.751417213)
Utile,POINT (655460.9709029781 5333215.906477126)
Moto Pulsion,POINT (658230.6691004796 5332896.0002027005)
Point P,POINT (657258.4773102056 5331510.02931371)
Terra Nostra,POINT (656167.737035335 5333270.335538818)
Nissan Toulon Ouest,POINT (656628.3191709346 5330973.447174015)
Rose France,POINT (656164.2281061079 5333308.546972605)
Lidl,POINT (657331.8043031004 5331267.150785799)
AMEM,POINT (655844.7751934201 5330243.365131251)
Azur Toulon Ouest,POINT (656505.6999426015 5331001.118877164)
Carrosserie Cudia,POINT (655907.6201087836 5331442.840520497)
Aude Pneus,POINT (655695.1936633107 5331732.466576764)
,POINT (658657.33020285 5331520.130416023)
Pascal Leclerc,POINT (656110.1188799419 5330443.031806585)
Stef auto services,POINT (655747.6469389902 5333244.532308516)
Eni,POINT (655287.5313473466 5333232.527493818)
,POINT (658686.052217321 5331507.557625764)
Garage du Pont de Bois,POINT (657568.3027696557 5331796.0704278685)
,POINT (655747.2313133497 5331502.125277493)
Intermarché Super,POINT (658000.5574294581 5332252.805216645)
Azur Car Services,POINT (657469.23697722 5331411.768127811)
Auto Lagoubran,POINT (655636.9134414077 5330250.6422716165)
Embrayage Service,POINT (655753.7515467111 5331682.85015886)
Netto,POINT (656740.9962060049 5331161.413908097)
Diaz Pneus,POINT (655353.6106211387 5330298.020130022)
Bar Tabac Loto Lagoubran,POINT (655870.9266681044 5330285.797015132)
La Fougassette,POINT (656139.5094039362 5333291.152212581)
Station U,POINT (-309076.907527107 6047466.803226808)
Express-Marée,POINT (-308545.7014350985 6046654.87789307)
,POINT (-309489.5330696799 6046033.583160574)
Squadra Prestige 2 Roues,POINT (660795.7775180319 5331274.556732753)
Galeries Lafayette,POINT (660175.1518832461 5331014.885975233)
Mr.Bricolage,POINT (661102.2578457112 5329364.510465572)
Picard,POINT (661093.7793794044 5329416.694326407)
Presse,POINT (660541.1925998341 5330945.165463235)
Yatch Port Accastillage Diffusion,POINT (660360.2038818445 5329882.436268566)
Broderie by E.M.,POINT (660160.825133948 5330829.407301303)
Total Access,POINT (660649.2610209917 5329181.631713479)
Cluster Boom,POINT (660636.9376937195 5330672.7225901745)
Charlemagne Manga,POINT (660523.9242830009 5331026.782936599)
L'Utilidée,POINT (660535.2749224169 5330464.157911721)
Autovision,POINT (660932.2244758946 5331952.934691651)
Intermarché,POINT (661015.2282911151 5329386.845606242)
L'Atelier Original,POINT (659973.6797725911 5330918.682306078)
Centre commercial les Collines d'Estanove,POINT (428775.0270765106 5403913.925734434)
Citroën,POINT (361040.4990032965 5767714.14962935)
Centre commercial du Baobab,POINT (280215.303331373 6250297.336496598)
Norauto,POINT (280407.94979421725 6250191.599249212)
NOZ,POINT (856159.1077725649 6252420.689430253)
Garage de Neuilly,POINT (281723.29493718164 6251268.8497704705)
Cedeo,POINT (285425.58801959245 6251956.619356787)
Établissements Bordet,POINT (280292.9581858527 6252416.666381031)
Durrenberger,POINT (855169.0009164518 6252191.476389002)
Point P,POINT (285510.4843695898 6252015.354852968)
Lidl,POINT (281776.29583038297 6253323.650207631)
Le Fournil de Morigny,POINT (242865.07905034645 6181637.01375764)
Peugeot Bernier Étampes,POINT (241870.4626755808 6182762.43154144)
Ets Louriou,POINT (242785.54045689644 6179597.785046624)
AD,POINT (248859.9343003785 6274357.849159773)
La Cabane à Skis,POINT (745470.9811159439 5653276.702636117)
Netto,POINT (243248.4229216709 6188461.866047678)
L'atelier Gwen'Do,POINT (243924.88962302517 6189263.350587402)
Lidl,POINT (244099.12209849004 6187879.981214041)
Line Optic,POINT (243916.86832630413 6189238.914900803)
Intermarché,POINT (243598.78671169386 6188517.408784061)
CGE Moderne Guerin,POINT (243806.0039723682 6188964.714276821)
Lib et Lulle,POINT (243966.60774312555 6189267.872503004)
50m2,POINT (243845.0830281995 6189223.441699687)
C.D'Coiffant,POINT (243958.5677819936 6189314.085662184)
Apparences,POINT (243981.50624314975 6189364.976123635)
La Boutique,POINT (243920.4451853452 6189162.183003125)
Opticien-lunetier,POINT (243880.05269366928 6189153.237225077)
Douceur Fleurie,POINT (243949.85676311303 6189221.544158745)
Festival des pains,POINT (243963.65164400384 6189240.609213647)
Spar,POINT (-2733.631529497546 5872999.087100679)
Boulangerie Patisserie,POINT (-2766.9192883727887 5873016.533648476)
Ferme Lataillade,POINT (-111668.93406546632 5402692.223158081)
Bike Workshop Hut,POINT (-111084.34569801457 5405358.053289307)
L'Hair de Genêts,POINT (-164519.7786297628 6221488.967285853)
Auchan Supermarché,POINT (281540.9024699756 6264275.591874571)
BeauSevran,POINT (281278.0021863229 6266187.40084545)
Lidl,POINT (281897.6644531487 6265194.661846712)
Au Fil Des Saisons,POINT (-2706.0634047373915 5873128.8511761)
,POINT (748734.7338704744 6304280.36472174)
Zanuttini traiteur,POINT (309158.85550629743 6498773.49944818)
E.Leclerc,POINT (310875.48900060536 6499075.959064304)
Station Service E. Leclerc,POINT (310561.31595311675 6499103.456759783)
Intermarché Contact,POINT (372761.0407145511 5783038.347822618)
,POINT (261816.13837087265 6252821.173711285)
Carrefour Market,POINT (509110.08385804563 5702053.238368962)
Carrefour,POINT (509165.1502412999 5702207.40023516)
Intermarché,POINT (-319879.45335572126 6117773.950845667)
Boulangerie Conoir,POINT (-320536.2674711632 6118029.136084707)
,POINT (-321549.2799964564 6124939.948559169)
Garage Renault,POINT (102177.82496170612 5763923.368289587)
Gamm Vert,POINT (102573.21915742727 5764364.377557829)
Vigier Automobile,POINT (102336.13401163525 5764206.9465954965)
Delbard,POINT (102793.63793306028 5764168.190933143)
Mr.Bricolage,POINT (102424.03379856826 5763561.457101106)
Lidl,POINT (102124.29232864859 5764116.424542557)
Eurotyre,POINT (102839.24894071033 5763835.209472775)
Chausson Matériaux,POINT (103540.39448758219 5764597.977305326)
Le repos de la Muse,POINT (99119.31505322577 5764121.370089183)
E.Leclerc,POINT (101833.97731187398 5763594.822537959)
BigMat,POINT (102676.36830846815 5764470.697346229)
Meubles & Cuisines Beausoleil,POINT (102427.98123929095 5764269.053609921)
Roc-Eclerc,POINT (100972.87385263813 5762484.794860834)
Agnelle Ganterie cuir,POINT (100341.79299925391 5761993.682916167)
Aldi,POINT (102243.94848142772 5763838.863012325)
But,POINT (102172.88368507211 5763740.463066537)
Alain Perrier,POINT (103516.85986113733 5764660.571773138)
NOZ,POINT (102150.54322775011 5764322.646821504)
Intermarché Super,POINT (268746.4000200265 6223739.960702089)
Esso,POINT (269401.4029477288 6224115.424124771)
E.Leclerc Drive,POINT (-34924.448414716324 6301017.078446406)
,POINT (-37664.89618484165 6300119.407650832)
Moto-Axxe,POINT (-37774.25005594834 6300304.158922454)
Garage Marescal,POINT (-37741.84083811762 6300215.845789233)
Norauto,POINT (271017.5302097626 6226383.101415403)
NOZ,POINT (270873.3413347019 6226596.976972711)
Action,POINT (270951.8980992577 6226458.741598462)
Pillaud Matériaux,POINT (-37791.51080168695 6300415.1753319735)
Lefevre Cycles et Motoculture,POINT (-259130.90305658674 6014622.9391533965)
Boulangerie Patisserie,POINT (-258012.53392653164 6015711.060177529)
Point P,POINT (-255794.35101990766 6025053.500470363)
Gamm Vert,POINT (-259474.56261761772 6014462.382391922)
Maison Bayle,POINT (508365.4808109254 5700533.623559756)
Carrefour City,POINT (311648.91205092345 6498540.637945034)
Motos Klein,POINT (310445.2209505097 6496685.8536874205)
Tollens,POINT (312169.3518466178 6499837.543067376)
Le Comptoir Seigneurie Gauthier,POINT (312442.64674965147 6499800.42539713)
Man Aras,POINT (312387.00821509556 6499822.438154889)
Darty,POINT (-259077.6594798141 6014648.179942207)
,POINT (-257960.92015966287 6015801.813948296)
LaMaison.fr,POINT (-259266.3308456533 6014546.4713734705)
Spar,POINT (4707.115431825995 5848057.913648876)
Fiat,POINT (504372.88580919616 5697938.593036456)
GiFi,POINT (253257.45316320992 6216400.760182156)
Centre commercial Intermarché,POINT (253273.3530384902 6216187.182663175)
Roady,POINT (253106.2585804059 6215968.208065628)
Carglass,POINT (253375.31607832614 6216925.950231699)
Une pièce en plus,POINT (253383.5496130326 6216867.909899085)
,POINT (252735.03907182507 6214687.6109472355)
Motoshopping.com,POINT (252723.58014505688 6214658.725524947)
R'eves Autos,POINT (251812.704904346 6213850.916253946)
Bricoman,POINT (253141.0862868749 6215646.696153479)
Concession Edam,POINT (252903.8509409705 6215270.645118425)
Carrosserie de la Chapelle,POINT (252953.11472160733 6214030.802619099)
Ad Carosserie Barbin Freres,POINT (253010.87661474853 6214890.805619283)
La Pause Gourmande,POINT (252746.7935508351 6215727.829672554)
Picard,POINT (252852.69467222554 6215784.827433238)
Garage DL Service,POINT (252660.9728599075 6214850.036817613)
rêves d'interieur,POINT (252723.5934840202 6213904.328882932)
Cuisine du Dragon,POINT (252621.71843440837 6214697.739751921)
Atol,POINT (252912.19260106882 6213679.641223722)
Garage De La Tour,POINT (252420.89135763847 6213940.387618352)
Point S,POINT (252402.71333982827 6213496.92709657)
Iveco Linas Vehicules Industriels,POINT (252108.33660115427 6212575.564794368)
FMeubles,POINT (252330.45467429882 6213591.974376135)
,POINT (-82931.6785529155 6058231.174308647)
Viveco,POINT (-82981.71593171108 6058284.120428341)
,POINT (-82728.95063168164 6058189.842764824)
Carrefour Market,POINT (675687.705683147 6248679.81510113)
Lidl,POINT (675334.6816596052 6246093.754727059)
Lulu la Boulange,POINT (675490.1863987559 6248150.3475345345)
,POINT (675627.108055028 6248291.509103831)
,POINT (676244.7852518192 6250357.830503181)
,POINT (676247.7346843892 6250381.551766578)
Boucherie Pecheur,POINT (675295.3337255254 6248058.28378523)
,POINT (676240.0833207299 6250299.59944776)
Yanna Fleurs,POINT (675574.9995549464 6248097.698960463)
Garage De La Plaine,POINT (250375.73628498055 6214000.093937347)
Carrefour,POINT (675721.3538847179 6248611.856490994)
Carrefour,POINT (248122.85816449008 6214406.752775286)
Tabac Brouot,POINT (675653.0623038554 6248243.804921979)
José Loueiro,POINT (675580.6288344666 6248214.609067304)
Auchan Supermarché,POINT (250639.78110810815 6214013.503551534)
Carrefour Market,POINT (658198.3099005093 5334060.913814833)
Eco Clean Auto,POINT (656089.2387542926 5333376.289569015)
Garage Littoral 83,POINT (655867.6205640754 5333615.717167374)
Garage Torrente,POINT (656992.628783658 5333797.841734656)
Vival,POINT (656920.8494765882 5334104.594233621)
Lidl,POINT (203664.91094498278 6212279.909247467)
Mécano Brico Mobile,POINT (205948.5424673616 6216286.65067669)
Renault Garage de la Vallée,POINT (203252.70502423335 6211987.836997909)
Centre Commercial E.Leclerc,POINT (206808.39376911355 6215167.253083977)
Carrefour,POINT (203663.27242916162 6211473.147806583)
Total,POINT (204727.95796351891 6214643.231534716)
E.Leclerc Express,POINT (205475.9748937377 6214977.832382314)
Station Service E. Leclerc,POINT (206630.4985357577 6215020.345150973)
Kiloutou,POINT (203400.75158446634 6211032.145591211)
Armurerie des Yvelines,POINT (203065.44981484575 6211585.100385166)
Feu Vert,POINT (203379.06373082963 6211392.145172354)
Monoprix,POINT (203310.5087778701 6214424.510019252)
Centre Commercial Bel Air,POINT (203441.3004503975 6211809.436531331)
,POINT (519750.6956547324 5878406.916020029)
Chausson Matériaux,POINT (519657.1885764274 5878439.465588681)
Carrefour Market,POINT (278306.5518771033 5685444.215237558)
,POINT (278391.9796599097 5685085.033775052)
,POINT (256073.22314669375 6216817.103909497)
Vialleix - Gedimat,POINT (277611.71884147974 5684616.777693678)
Le Bel Emmaüs,POINT (254276.7779225514 6219137.038227061)
Carter-Cash,POINT (254446.86927369746 6221219.248094984)
Irisports,POINT (253514.07231270382 6219196.914528313)
Emmaüs,POINT (254343.20931455638 6218987.732562274)
Lirot Halles,POINT (254516.10208541327 6218749.0395770045)
Harley-Davidson,POINT (253642.79109001398 6218059.28524807)
Matériaux,POINT (254021.94961894385 6219553.471792711)
Leader Price,POINT (253696.87446631957 6219212.240721951)
Dyneff,POINT (285835.59178545664 5519014.509671128)
Action,POINT (257707.0290475272 6241866.474686348)
Point P,POINT (257851.38304116094 6239273.663020443)
Carosserie Unimotors,POINT (256202.1118578489 6240962.202191646)
Esso,POINT (255839.58482299032 6240584.5530126495)
Carosserie d'Arcueil,POINT (256089.6575893675 6240829.834449351)
Match,POINT (843317.9938965046 6039122.085816471)
Green Garden,POINT (245434.48327082218 6187879.913134447)
,POINT (392893.6649761177 6026714.884756112)
Coccinelle Supermarché,POINT (245570.1576724757 6242891.329566187)
,POINT (264718.8834365443 6172689.205252146)
,POINT (264735.2748397686 6172693.638172274)
,POINT (245845.88227701714 6245026.5507326955)
Porsche,POINT (248433.7063488986 6202140.194361413)
Ravé S.A.,POINT (248354.38719896795 6201939.588492911)
Garage Citroën,POINT (252426.9627499834 6222851.046734819)
Garage du lac,POINT (252639.31076364053 6223461.3595238775)
Grand Frais,POINT (253564.43730137995 6219307.849280861)
Carrefour Market,POINT (254066.39983775516 6223062.643961115)
Lidl,POINT (254593.6874571417 6223313.662012772)
Maxi Zoo,POINT (253517.6306616255 6219315.377758793)
,POINT (250411.36688736032 6221756.8508364735)
Volkswagen,POINT (251740.22145918815 6225581.578729301)
Euromaster Longjumeau,POINT (254936.2907676332 6223974.042881337)
La boîte a noeuf,POINT (361200.1941143954 5737744.441598585)
,POINT (358776.67355780414 5737021.483693131)
Intermarché Contact,POINT (358705.722952609 5736975.747070416)
Institut Catherine Beauté,POINT (359603.2470462834 5737092.19134877)
Garage Denis Muller,POINT (800389.7394012403 6095017.125845175)
Super U,POINT (457007.3470693357 5463366.071701709)
Lidl,POINT (783545.9448181927 6300821.717273662)
Proxy,POINT (236727.50958683153 6167153.501966744)
Lidl,POINT (283024.9805472869 6269160.165942321)
Franprix,POINT (285582.39002523804 6265638.681607737)
Renault - Dacia,POINT (284928.2197179466 6267703.406826385)
Hyundai,POINT (284862.1311546221 6267848.283694758)
Décor Jardin,POINT (707469.4827743621 6231423.460449994)
Grand Frais,POINT (282890.1209397162 6268293.485093234)
,POINT (285356.50024169835 6266985.145051549)
Auchan Supermarché,POINT (284409.24998938927 6268070.328462699)
,POINT (277927.15966118744 6270585.904561222)
Speedy,POINT (815092.4196020443 6068088.361480357)
,POINT (815167.199326262 6067881.695770191)
L'embellie,POINT (284712.08664977446 6266267.041853842)
Garages Calmey,POINT (349460.3282730308 6518277.666798152)
Maison Soissons,POINT (282862.14689842844 6269072.725415218)
Point P,POINT (282120.2528355293 6267979.587226218)
Vival by Casino Blotzheim,POINT (834379.9918074473 6040832.467930197)
Centre Commercial E.Leclerc,POINT (835499.367648166 6041741.234474229)
Garage 2000,POINT (835709.1194881832 6041039.190601306)
Intermarché,POINT (262315.70287233585 6223201.432592095)
Fleurs Capucine,POINT (834472.2495240946 6040815.032917165)
LK Tours / Chopin Hertz,POINT (813319.6506974532 6065102.293845951)
L'Oeil du Jour,POINT (288721.89292004204 6312350.478815755)
Dépannage Poteau,POINT (288816.93177514215 6312185.412354419)
Bricorama,POINT (402185.762181472 6368279.693574916)
Carrefour Market,POINT (401710.279185649 6372200.171089586)
AutoDistributionLaonnoises,POINT (406728.8485515417 6373596.759136799)
Carrefour,POINT (402342.12490739155 6368311.307978705)
Supeco,POINT (405870.3911221972 6371111.9017668525)
Frip Maline,POINT (401172.9355445626 6369671.575553496)
Intersport,POINT (401996.29312579124 6368547.0585142225)
Kiabi,POINT (401899.35093657736 6368434.022081317)
Dépôt Laon,POINT (405221.4445960381 6372484.758498702)
Générale d'Optique,POINT (402055.94151627715 6368577.625136308)
NOZ,POINT (405412.0545856101 6374486.286129715)
Norauto,POINT (402360.7967274399 6368655.520595039)
Garage Bayard,POINT (296530.3267592811 5623967.798450644)
Toyota,POINT (407181.3518550447 6373782.603624326)
E.Leclerc Drive,POINT (401524.27440848213 6372288.682775911)
Ford,POINT (406922.62510932656 6373814.17238483)
Fiat,POINT (407024.05822159955 6373732.002798667)
GiFi,POINT (402007.0940384481 6368255.248385341)
Garage Auto Récupération,POINT (-40830.49591965387 5543974.517910154)
,POINT (720911.3174956372 5779105.441610862)
Makila Auto Dax,POINT (-113175.42136204086 5425420.1049341485)
Saint-Martin Automobiles,POINT (414683.2638624778 5434293.936778611)
France Matériaux Arnaud,POINT (416088.90732116124 5431815.362312583)
Les Cabris de Chloé,POINT (410661.22208133887 5434538.7482435005)
,POINT (414831.8303153591 5434374.728058747)
Franprix,POINT (258007.2923314281 6273005.640343702)
Rousseau Enghien,POINT (257204.06996109284 6270250.72346864)
Intermarché,POINT (257446.18905504915 6276507.909790989)
Intermarché Super,POINT (257512.39004986503 6276500.260000613)
La Maison de Manon,POINT (-265841.4391520152 6127119.103517425)
Lidl,POINT (369391.720460074 5874202.096797876)
Landaise de Menuiserie,POINT (-117538.77883872091 5422033.774663425)
Quincaillerie Morel,POINT (-117639.49412995302 5421737.489330992)
Milano Automobiles,POINT (-117504.5408430566 5422211.68308683)
,POINT (-116291.55652415688 5420430.841867724)
La Foir'Fouille,POINT (-116943.95289748796 5421998.076359986)
Roady,POINT (-117112.72407474456 5417925.397854466)
Station Service Carrefour,POINT (-115891.38568003564 5420657.125276081)
Total Access,POINT (-116991.25083113876 5421778.752317577)
Euromaster,POINT (-115770.93022651863 5419675.760215643)
Carrefour Market,POINT (-116967.9422740558 5421806.824282792)
Relay,POINT (-116859.45050205353 5422294.831124678)
Bricomarché,POINT (-117094.44635615702 5417837.901038986)
Auchan,POINT (255106.7620986818 6273499.494611837)
Bricorama,POINT (255234.88681448903 6273224.536153185)
Strike Moto,POINT (593390.6107146556 5771062.730642385)
Location de Motos Moto JP,POINT (309935.6301783087 5743372.653871006)
Coeur de Fermier,POINT (307064.2042288 5744412.316890883)
Laura Coif',POINT (307595.0999981715 5743433.884807443)
Big Mat,POINT (306812.01473096164 5743163.780463876)
Vival,POINT (307696.834207903 5743481.587828008)
